user_id,is_subscriber,signup_date,user_country,industry_role,user_type,pre_project_engagement_score,is_treatment_group,total_weeks_active
USR_000001,False,2024-09-29,US,Researcher,Consumer,35.02,True,12
USR_000002,False,2024-07-20,US,Software Engineer,Consumer,49.2,True,15
USR_000003,False,2024-08-15,US,Data Scientist,Consumer,6.22,True,24
USR_000004,False,2024-07-27,India,Researcher,Consumer,43.97,False,15
USR_000005,False,2024-11-24,US,Data Scientist,Consumer,54.41,True,4
USR_000006,False,2024-06-21,Germany,Software Engineer,Enterprise,21.33,False,25
USR_000007,True,2024-06-28,US,Writer,Enterprise,64.19,True,18
USR_000008,False,2024-07-04,Germany,Researcher,Consumer,19.56,True,21
USR_000009,False,2024-07-22,US,Student,Consumer,78.84,True,7
USR_000010,False,2024-08-29,Germany,Data Scientist,Consumer,17.2,True,15
USR_000011,False,2024-07-03,France,Other,Enterprise,77.31,False,26
USR_000012,True,2024-11-16,UK,Researcher,Consumer,74.57,True,17
USR_000013,False,2024-09-12,US,Data Scientist,Consumer,51.39,True,9
USR_000014,False,2024-06-18,India,Student,Consumer,60.65,False,10
USR_000015,False,2024-08-16,US,Data Scientist,Consumer,37.76,True,6
USR_000016,False,2024-11-05,US,Software Engineer,Consumer,19.18,True,21
USR_000017,False,2024-12-02,US,Student,Enterprise,37.23,True,22
USR_000018,False,2024-11-27,US,Writer,Enterprise,22.41,True,13
USR_000019,False,2024-08-16,US,Software Engineer,Consumer,20.84,True,8
USR_000020,False,2024-11-17,France,Other,Consumer,35.32,True,23
USR_000021,False,2024-10-04,India,Data Scientist,Consumer,33.58,True,9
USR_000022,False,2024-10-19,UK,Student,Consumer,71.02,True,20
USR_000023,False,2024-09-25,US,Student,Consumer,88.08,True,18
USR_000024,False,2024-12-09,India,Student,Consumer,52.72,True,9
USR_000025,False,2024-07-13,US,Data Scientist,Enterprise,37.53,False,15
USR_000026,False,2024-07-04,India,Writer,Consumer,2.89,False,7
USR_000027,False,2024-08-04,Canada,Researcher,Consumer,18.42,True,15
USR_000028,False,2024-10-18,Germany,Software Engineer,Enterprise,11.42,True,7
USR_000029,False,2024-06-20,US,Data Scientist,Enterprise,32.43,True,11
USR_000030,False,2024-07-14,Canada,Researcher,Enterprise,63.82,False,21
USR_000031,False,2024-06-15,UK,Software Engineer,Consumer,28.67,True,17
USR_000032,False,2024-08-27,Other,Software Engineer,Enterprise,62.33,True,24
USR_000033,False,2024-07-30,Other,Data Scientist,Consumer,20.83,True,17
USR_000034,False,2024-10-13,Other,Other,Consumer,38.76,True,4
USR_000035,False,2024-07-07,Canada,Student,Consumer,27.48,False,7
USR_000036,False,2024-08-20,India,Software Engineer,Consumer,30.92,True,12
USR_000037,True,2024-11-14,US,Business Analyst,Consumer,64.09,True,13
USR_000038,False,2024-08-02,US,Student,Consumer,6.15,False,5
USR_000039,False,2024-11-07,US,Student,Consumer,18.19,True,17
USR_000040,False,2024-10-01,US,Software Engineer,Consumer,79.27,True,24
USR_000041,False,2024-08-11,US,Software Engineer,Enterprise,32.73,True,13
USR_000042,False,2024-06-21,US,Researcher,Enterprise,45.86,False,13
USR_000043,False,2024-06-30,Germany,Writer,Enterprise,31.67,False,5
USR_000044,True,2024-09-09,India,Software Engineer,Consumer,40.0,True,26
USR_000045,False,2024-07-02,France,Data Scientist,Consumer,20.98,True,19
USR_000046,False,2024-10-13,UK,Data Scientist,Enterprise,32.13,True,12
USR_000047,False,2024-07-28,Other,Student,Consumer,37.69,True,13
USR_000048,False,2024-11-13,US,Data Scientist,Consumer,79.34,True,8
USR_000049,False,2024-11-10,France,Data Scientist,Consumer,35.8,True,7
USR_000050,False,2024-12-03,Germany,Data Scientist,Enterprise,69.39,True,8
USR_000051,False,2024-10-17,US,Software Engineer,Enterprise,37.3,True,21
USR_000052,False,2024-06-28,Germany,Writer,Consumer,6.55,False,21
USR_000053,False,2024-06-15,UK,Student,Consumer,34.44,True,6
USR_000054,True,2024-09-04,India,Software Engineer,Enterprise,64.08,True,18
USR_000055,False,2024-06-27,India,Data Scientist,Enterprise,38.85,False,4
USR_000056,False,2024-10-12,India,Other,Consumer,5.44,True,8
