evaluation_id,model_version,eval_prompt_category,human_rating,synthetic_metric,cost_of_evaluation,evaluation_date,deployment_week
EVAL_000001,v1.0,Math/Logic,3,75.82,16.34,2024-03-15,1
EVAL_000002,v1.0,General QA,5,90.17,18.31,2024-01-02,1
EVAL_000003,v1.0,Coding,5,95.51,18.11,2024-03-29,1
EVAL_000004,v1.0,Math/Logic,4,77.58,30.61,2024-01-15,1
EVAL_000005,v1.0,Scientific,4,76.19,28.9,2024-05-14,1
EVAL_000006,v1.0,General QA,2,81.39,12.24,2024-05-09,1
EVAL_000007,v1.0,Coding,4,78.26,28.5,2024-02-04,1
EVAL_000008,v1.0,General QA,3,76.47,21.8,2024-04-15,1
EVAL_000009,v1.0,Scientific,4,70.41,17.33,2024-02-09,1
EVAL_000010,v1.0,Scientific,4,72.25,21.35,2024-05-03,1
EVAL_000011,v1.0,Math/Logic,4,72.59,26.94,2024-02-02,1
EVAL_000012,v1.0,General QA,3,65.44,26.95,2024-03-12,1
EVAL_000013,v1.0,General QA,4,71.39,20.88,2024-04-08,1
EVAL_000014,v1.0,Coding,4,85.53,17.79,2024-05-10,1
EVAL_000015,v1.0,Creative Writing,4,79.18,16.61,2024-01-15,1
EVAL_000016,v1.0,Scientific,2,70.41,19.63,2024-05-30,1
EVAL_000017,v1.0,Scientific,5,82.27,31.21,2024-06-18,1
EVAL_000018,v1.0,Math/Logic,4,68.02,19.28,2024-03-24,1
EVAL_000019,v1.0,Coding,3,69.16,27.6,2024-05-08,1
EVAL_000020,v1.0,Scientific,4,78.87,24.01,2024-03-02,1
EVAL_000021,v1.0,Coding,4,78.57,18.52,2024-06-08,1
EVAL_000022,v1.0,Creative Writing,4,74.97,19.7,2024-02-08,1
EVAL_000023,v1.0,Math/Logic,4,82.42,21.18,2024-05-08,1
EVAL_000024,v1.0,Math/Logic,2,88.8,20.29,2024-03-08,1
EVAL_000025,v1.0,Math/Logic,4,71.41,23.05,2024-04-07,1
EVAL_000026,v1.0,Math/Logic,4,87.14,23.62,2024-04-02,1
EVAL_000027,v1.0,Coding,3,80.09,23.68,2024-02-21,1
EVAL_000028,v1.0,Creative Writing,5,81.54,20.06,2024-06-26,1
EVAL_000029,v1.0,Coding,4,73.86,24.33,2024-02-29,1
EVAL_000030,v1.0,Math/Logic,4,74.63,21.09,2024-04-08,1
EVAL_000031,v1.0,General QA,5,88.72,19.26,2024-06-12,1
EVAL_000032,v1.0,Creative Writing,4,78.76,30.6,2024-05-25,1
EVAL_000033,v1.0,Coding,4,77.07,18.64,2024-03-08,1
EVAL_000034,v1.0,Coding,4,72.25,27.16,2024-05-24,1
EVAL_000035,v1.0,Scientific,5,79.24,21.76,2024-06-06,1
EVAL_000036,v1.0,General QA,4,81.16,21.25,2024-04-06,1
EVAL_000037,v1.0,Math/Logic,4,84.03,23.49,2024-01-04,1
EVAL_000038,v1.0,Coding,3,83.1,27.25,2024-05-03,1
EVAL_000039,v1.0,Scientific,5,79.92,26.58,2024-04-25,1
EVAL_000040,v1.0,Creative Writing,3,78.55,16.54,2024-01-25,1
EVAL_000041,v1.0,Creative Writing,5,96.48,19.46,2024-02-01,1
EVAL_000042,v1.0,Math/Logic,3,65.94,26.73,2024-05-16,1
EVAL_000043,v1.0,Coding,3,84.86,20.3,2024-02-19,1
EVAL_000044,v1.0,General QA,3,82.55,15.06,2024-05-23,1
EVAL_000045,v1.0,Math/Logic,5,85.29,24.58,2024-03-26,1
EVAL_000046,v1.0,Coding,3,78.28,22.86,2024-03-26,1
EVAL_000047,v1.0,Scientific,3,70.92,15.91,2024-01-08,1
EVAL_000048,v1.0,Math/Logic,4,74.16,28.63,2024-04-25,1
EVAL_000049,v1.0,Math/Logic,3,81.79,25.93,2024-03-03,1
EVAL_000050,v1.0,Creative Writing,3,83.58,16.6,2024-01-01,1
EVAL_000051,v1.0,Scientific,4,73.64,23.75,2024-03-09,1
EVAL_000052,v1.0,General QA,3,69.63,25.37,2024-01-29,1
EVAL_000053,v1.0,Scientific,3,74.72,15.47,2024-06-24,1
EVAL_000054,v1.0,Scientific,4,71.12,21.98,2024-01-10,1
EVAL_000055,v1.0,Creative Writing,5,90.63,26.09,2024-01-04,1
EVAL_000056,v1.0,Math/Logic,4,66.24,24.63,2024-06-26,1
EVAL_000057,v1.0,Coding,5,72.14,32.12,2024-03-07,1
EVAL_000058,v1.0,Creative Writing,4,89.98,20.78,2024-06-02,1
EVAL_000059,v1.0,Scientific,3,69.47,15.77,2024-04-23,1
EVAL_000060,v1.0,Creative Writing,5,86.1,32.51,2024-06-12,1
EVAL_000061,v1.0,Creative Writing,5,83.32,28.97,2024-02-05,1
EVAL_000062,v1.0,Coding,4,72.3,24.43,2024-01-12,1
